t,x,y
1.210000e1,3.619886e1,-5.638638e0
1.213333e1,3.633926e1,-5.572273e0
1.216667e1,3.580839e1,-5.529647e0
1.220000e1,3.331124e1,-4.964052e0
1.223333e1,3.049300e1,-4.714266e0
1.226667e1,2.946743e1,-4.614190e0
1.230000e1,2.848928e1,-4.483027e0
1.233333e1,2.750787e1,-4.282051e0
1.236667e1,2.655291e1,-3.964580e0
1.240000e1,2.591852e1,-3.748538e0
1.243333e1,2.500140e1,-3.451745e0
1.246667e1,2.355336e1,-3.440475e0
1.250000e1,2.158055e1,-3.076659e0
1.253333e1,1.968615e1,-2.810940e0
1.256667e1,1.815757e1,-2.372399e0
1.260000e1,1.706013e1,-2.223493e0
1.263333e1,1.623255e1,-2.254774e0
1.266667e1,2.109014e1,-2.348807e0
1.270000e1,2.702511e1,-2.975262e0
1.273333e1,2.748231e1,-3.706384e0
1.276667e1,3.002935e1,-3.810790e0
1.280000e1,3.449626e1,-5.112982e0
1.283333e1,3.988478e1,-5.319438e0
1.286667e1,4.289236e1,-4.887821e0
1.290000e1,4.270323e1,-4.900917e0
1.293333e1,4.124815e1,-5.327131e0
1.296667e1,4.059342e1,-4.911212e0
1.300000e1,4.077237e1,-5.251460e0
1.303333e1,4.148833e1,-5.139324e0
1.306667e1,4.216256e1,-5.189270e0
1.310000e1,4.225334e1,-5.200605e0
1.313333e1,4.178665e1,-5.143156e0
1.316667e1,4.099704e1,-5.163666e0
1.320000e1,3.919409e1,-4.840288e0
1.323333e1,3.586541e1,-4.881315e0
1.326667e1,3.202217e1,-4.371596e0
1.330000e1,3.079731e1,-3.925550e0
1.333333e1,3.002405e1,-3.853979e0
1.336667e1,2.936833e1,-3.679675e0
1.340000e1,2.846387e1,-3.707910e0
1.343333e1,2.705837e1,-3.438261e0
1.346667e1,2.577640e1,-3.314233e0
1.350000e1,2.487641e1,-3.407537e0
1.353333e1,2.408514e1,-3.234916e0
1.356667e1,2.351580e1,-3.238647e0
1.360000e1,2.286384e1,-3.261496e0
1.363333e1,2.156856e1,-2.879705e0
1.366667e1,2.157264e1,-3.310424e0
1.370000e1,2.699013e1,-3.391353e0
1.373333e1,2.851628e1,-3.325147e0
1.376667e1,3.033463e1,-3.778646e0
1.380000e1,3.516881e1,-4.335855e0
1.383333e1,4.192696e1,-4.528828e0
1.386667e1,4.612753e1,-4.314000e0
1.390000e1,4.649812e1,-5.285458e0
1.393333e1,4.469932e1,-6.127325e0
1.396667e1,4.274261e1,-5.789196e0
1.400000e1,4.270088e1,-5.222211e0
1.403333e1,4.370612e1,-5.762400e0
1.406667e1,4.439704e1,-5.781941e0
1.410000e1,4.469122e1,-5.663311e0
1.413333e1,4.460439e1,-5.689289e0
1.416667e1,4.375677e1,-5.681639e0
1.420000e1,4.226871e1,-5.382025e0
1.423333e1,3.963173e1,-5.024106e0
1.426667e1,3.626260e1,-4.200796e0
1.430000e1,3.382087e1,-3.605468e0
1.433333e1,3.245887e1,-3.701989e0
1.436667e1,3.140463e1,-3.599781e0
1.440000e1,3.042143e1,-3.774656e0
1.443333e1,2.935952e1,-4.037008e0
1.446667e1,2.833022e1,-3.870465e0
1.450000e1,2.744350e1,-3.573823e0
1.453333e1,2.632605e1,-3.676890e0
1.456667e1,2.520139e1,-3.659654e0
1.460000e1,2.447139e1,-3.558884e0
1.463333e1,2.357556e1,-3.585218e0
1.466667e1,2.306143e1,-3.617288e0
1.470000e1,2.855097e1,-3.681948e0
1.473333e1,3.093447e1,-4.016109e0
1.476667e1,3.241664e1,-4.284776e0
1.480000e1,3.597954e1,-4.752792e0
1.483333e1,4.257690e1,-5.740742e0
1.486667e1,4.845175e1,-5.876228e0
1.490000e1,5.066358e1,-5.898185e0
1.493333e1,4.817048e1,-7.153630e0
1.496667e1,4.394132e1,-7.736257e0
1.500000e1,4.327937e1,-6.133869e0
1.503333e1,4.479818e1,-7.075808e0
1.506667e1,4.531672e1,-7.155472e0
1.510000e1,4.469379e1,-6.806626e0
1.513333e1,4.471446e1,-6.925090e0
1.516667e1,4.511019e1,-7.002738e0
1.520000e1,4.407643e1,-6.764836e0
1.523333e1,4.203987e1,-6.344764e0
1.526667e1,4.012060e1,-5.997276e0
1.530000e1,3.831837e1,-5.851258e0
1.533333e1,3.725182e1,-5.595840e0
1.536667e1,3.676877e1,-5.660339e0
1.540000e1,3.586313e1,-5.629197e0
1.543333e1,3.437649e1,-5.401989e0
1.546667e1,3.315857e1,-5.381070e0
1.550000e1,3.266829e1,-5.248948e0
1.553333e1,3.195769e1,-5.184725e0
1.556667e1,3.163639e1,-5.180293e0
1.560000e1,3.121201e1,-4.990092e0
1.563333e1,3.077727e1,-5.140207e0
1.566667e1,3.046295e1,-5.162047e0
1.570000e1,3.349734e1,-5.281862e0
1.573333e1,3.592093e1,-4.977146e0
1.576667e1,3.656187e1,-5.634099e0
1.580000e1,3.942305e1,-5.754718e0
1.583333e1,4.457960e1,-7.197186e0
1.586667e1,5.080903e1,-7.954183e0
1.590000e1,5.353517e1,-8.791323e0
1.593333e1,5.280162e1,-9.008676e0
1.596667e1,5.108646e1,-7.713370e0
1.600000e1,5.060813e1,-7.709913e0
1.603333e1,5.142370e1,-7.720540e0
1.606667e1,5.207711e1,-7.801536e0
1.610000e1,5.258324e1,-7.929571e0
1.613333e1,5.257377e1,-7.870168e0
1.616667e1,5.209258e1,-7.816108e0
1.620000e1,5.160956e1,-7.834187e0
1.623333e1,5.011840e1,-7.749748e0
1.626667e1,4.703490e1,-6.904627e0
1.630000e1,4.286528e1,-6.164138e0
1.633333e1,4.127075e1,-5.664736e0
